=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.12.05 23:00:12 =~=~=~=~=~=~=~=~=~=~=~=
,-0.54
9462.16,-1.51
9462.16,-1.83
9462.16,-0.22
9462.17,-1.94
9462.17,-1.51
9462.17,-2.16
9462.18,-1.83
9462.18,-1.51
9462.18,-1.94
9462.18,-0.22
9462.18,-1.19
9462.18,-2.05
9462.18,-1.83
9462.18,-1.51
9462.18,-0.22
9462.18,-1.51
9462.19,-0.65
9462.19,-0.54
9462.19,-0.22
9462.19,-1.40
9462.19,-2.16
9462.19,-1.40
9462.19,-1.19
9462.19,-1.51
9462.19,-1.62
9462.19,-1.51
9462.20,-1.72
9462.20,-1.40
9462.20,-1.40
9462.20,-2.05
9462.20,-1.83
9462.20,-1.83
9462.20,-0.75
9462.20,-1.29
9462.20,-1.72
9462.20,-0.75
9462.21,-1.62
9462.21,-0.22
9462.22,-1.83
9462.22,-1.40
9462.22,-2.26
9462.22,-1.94
9462.22,-1.72
9462.22,-1.72
9462.22,0.75
9462.22,0.00
9462.23,-1.72
9462.23,-1.72
9462.23,-1.19
9462.23,-1.72
9462.23,-1.40
9462.23,-1.40
9462.23,-1.51
9462.23,-1.62
9462.23,-0.86
9462.23,-1.40
9462.23,-1.83
9462.24,-1.40
9462.24,-1.94
9462.24,-1.62
9462.24,-1.51
9462.24,-1.94
9462.24,-1.29
9462.24,-1.72
9462.24,-0.22
9462.24,-1.19
9462.24,-1.40
9462.25,-1.94
9462.25,-2.26
9462.25,-1.94
9462.26,-1.83
9462.26,-0.11
9462.26,-1.19
9462.26,-1.62
9462.26,-1.94
9462.26,-1.83
9462.26,-0.22
9462.27,-0.22
9462.27,-2.05
9462.27,0.22
9462.27,-1.51
9462.27,-1.94
9462.27,-0.54
9462.27,-1.62
9462.27,-1.62
9462.27,-0.97
9462.27,-1.08
9462.28,-2.48
9462.28,-1.51
9462.28,-1.29
9462.28,0.75
9462.28,-1.94
9462.28,0.32
9462.28,-1.72
9462.28,-1.19
9462.28,-1.29
9462.28,-1.72
9462.29,-1.29
9462.29,-1.62
9462.29,-1.51
9462.29,-1.40
9462.30,-1.83
9462.30,-1.62
9462.30,-1.94
9462.30,-1.08
9462.30,-1.72
9462.30,-1.62
9462.30,-2.05
9462.31,-1.40
9462.31,0.11
9462.31,-1.62
9462.31,-1.72
9462.31,-0.97
9462.31,-2.26
9462.31,-0.32
9462.31,-1.51
9462.31,-1.40
9462.31,-1.29
9462.32,-1.51
9462.32,-1.62
9462.32,-1.51
9462.32,-1.19
9462.32,-0.32
9462.32,-0.32
9462.32,-2.16
9462.32,-1.62
9462.32,-1.62
9462.32,-0.97
9462.33,-0.43
9462.33,-0.97
9462.33,-2.80
9462.33,-1.62
9462.33,-2.16
9462.34,-0.86
9462.34,-2.16
9462.34,-2.16
9462.34,-0.86
9462.34,-1.72
9462.35,-1.72
9462.35,0.00
9462.35,-1.51
9462.35,-0.22
9462.35,-1.72
9462.35,-2.16
9462.35,-1.83
9462.35,-1.72
9462.35,-1.62
9462.35,-1.62
9462.36,-1.62
9462.36,-1.29
9462.36,0.54
9462.36,-1.51
9462.36,-1.40
9462.36,-1.19
9462.36,-1.72
9462.36,-1.94
9462.36,-1.83
9462.36,-0.65
9462.37,-0.86
9462.37,-1.72
9462.37,-1.51
9462.37,0.32
9462.37,-0.11
9462.37,-0.22
9462.37,-0.97
9462.38,-1.51
9462.38,-2.16
9462.38,-1.72
9462.38,-1.62
9462.39,-1.40
9462.39,-1.72
9462.39,-1.94
9462.39,-1.62
9462.39,0.43
9462.39,-0.22
9462.39,-1.72
9462.39,-1.62
9462.39,-0.75
9462.39,-1.83
9462.40,-1.72
9462.40,-1.72
9462.40,-1.94
9462.40,-2.16
9462.40,-1.72
9462.40,-0.22
9462.40,-0.65
9462.40,-1.40
9462.40,-1.72
9462.40,-0.86
9462.41,-0.54
9462.41,-2.16
9462.41,-1.72
9462.41,0.86
9462.42,1.19
9462.42,-0.97
9462.42,-0.86
9462.42,-2.05
9462.42,-1.51
