=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.12.06 02:20:59 =~=~=~=~=~=~=~=~=~=~=~=,
2729.54,-20.91
2729.55,-18.97
2729.55,-21.24
2729.55,-21.45
2729.55,-21.24
2729.55,-20.91
2729.55,-21.45
2729.55,-20.37
2729.55,-21.02
2729.55,-21.24
2729.55,-21.02
2729.56,-21.02
2729.56,-22.53
2729.56,-19.84
2729.56,-20.48
2729.56,-20.91
2729.56,-20.81
2729.56,-21.45
2729.56,-20.91
2729.56,-21.45
2729.57,-20.91
2729.57,-21.24
2729.58,-21.56
2729.58,-19.51
2729.58,-18
2729.58,-20.91
2729.58,-21.67
2729.58,-21.13
2729.58,-19.94
2729.59,-21.56
2729.59,-21.02
2729.59,-21.24
2729.59,-21.13
2729.59,-21.13
2729.59,-21.56
2729.59,-21.99
2729.59,-20.91
2729.59,-21.24
2729.59,-20.81
2729.6,-20.81
2729.6,-20.37
2729.6,-20.91
2729.6,-21.56
2729.6,-21.13
2729.6,-20.91
2729.6,-20.27
2729.6,-20.91
2729.6,-20.91
2729.61,-21.45
2729.61,-21.56
2729.61,-20.7
2729.61,-20.91
2729.61,-22.1
2729.61,-21.67
2729.62,-21.56
2729.62,-21.45
2729.62,-19.51
2729.63,-20.27
2729.63,-20.91
2729.63,-21.78
2729.63,-21.13
2729.63,-21.24
2729.63,-21.13
2729.63,-21.13
2729.63,-21.24
2729.63,-19.4
2729.63,-19.3
2729.64,-21.99
2729.64,-20.27
2729.64,-20.91
2729.64,-21.13
